timestamp,cell_id,latitude,longitude,rsrp,rsrq,sinr,download_mbps,upload_mbps,latency_ms
2026-09-01 10:00,101,30.0444,31.2357,-85,-10,18,45.2,12.4,32
2026-09-01 10:05,101,30.0445,31.2358,-92,-12,14,32.1,9.8,41
2026-09-01 10:10,102,30.0446,31.2359,-105,-15,8,18.4,5.2,68
2026-09-01 10:15,102,30.0447,31.2360,-110,-17,5,11.2,3.8,92
2026-09-01 10:20,103,30.0448,31.2361,-78,-8,22,61.3,18.1,24
2026-09-01 10:25,103,30.0449,31.2362,-81,-9,20,57.8,16.7,27
2026-09-01 10:30,104,30.0450,31.2363,-115,-18,3,7.5,2.1,120
2026-09-01 10:35,104,30.0451,31.2364,-108,-16,6,13.7,4.3,87
2026-09-01 10:40,105,30.0452,31.2365,-75,-7,24,72.5,21.3,19
2026-09-01 10:45,105,30.0453,31.2366,-80,-8,21,68.2,19.5,22
2026-09-01 10:50,101,30.0454,31.2367,-88,-11,16,39.5,10.2,37
2026-09-01 10:55,102,30.0455,31.2368,-103,-14,7,19.1,5.1,74
2026-09-01 11:00,103,30.0456,31.2369,-79,-9,21,64.2,17.8,21
2026-09-01 11:05,104,30.0457,31.2370,-112,-17,4,8.2,2.4,115
2026-09-01 11:10,105,30.0458,31.2371,-77,-8,23,70.1,20.5,20
